Rank,Bib,LastName,FirstName,Team,Nationality,Category,PositionInCategory,PositionInGenre,OfficialTime,Delay
396,511,64d0bd2f1b1542d44e7e71956b944c916f4a9b39540bc0e0de8794e6,a722d96579eaa0ee8db142be81b3a8820d5770d5448d96e10ec91935,e2dd5b6878f5644e104fe0d6cb3c60555336f4338ba8ceed51f12de6,ita,SM,58,372,3:26:48,+1:02:48
397,797,279b82079ab8f2878cfbd7fd24dfe3b936fe99877a2b8fb9d805d748,c673ad6ff75bde60e6de12e46d2c46aa30d1ff683ff5f8ff09ce0c38,8e6699754af80b436c48260d909444744a5586f0e073d6c749aa840f,ita,SM40,87,373,3:26:49,+1:02:49
398,782,a82188773bc3f1089071623f329efd70f3a5e2b57efa4e3666e2e229,099bb7dd6d080a9f4a769be4fddb40d7c078a046c02dd7353ba33606,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM40,88,374,3:26:53,+1:02:53
399,434,b1f2f4d0257d75ff12b91f7fb8a6bb6203dfe8b82f270d1d2f0c7b59,eeb4117bc8cb6b6f27eb5619eaf0f830f984468f47d167e09a8bd63a,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,rus,SM,59,375,3:26:56,+1:02:56
400,1618,7c5464729f31ce88d232ad6a0d37a707c2f8b36653d85512daaa2e49,44695c55104528dcff69823e0a52db2a278b85799b6d80ca4a201368,a6941e67b9fa86a77226b57dd2bad41e8135f2ffb4b4a35f5bd1bbd0,ita,SM45,84,376,3:26:59,+1:02:59
402,1036,20dc17effc2c9b25d7fa1f2f5e7faef623dad6f578267a9fc9a55738,ae98a0dad2e6beeb7bd921627e46c83c041ab31f5ceb6f2e8c070b36,47153175a7c50304f6f9204ee38f48651e397e073325731a29e28270,ita,SF45,5,25,3:27:06,+1:03:07
401,1388,c66af30ec7ec72c70b055b9a0965871e1606f3408ab0dbfff9c8ac5a,1e2c0b4492370d6fa184798e86e457c53d81634ffad71fbcdaaf6db8,536705a9869ea2a1fa4aefc33ea7aa40a31edaa3cbe271868413d476,ita,SM50,59,377,3:27:06,+1:03:06
403,451,1b70210686045bb5439c73c2eecbc1c767e4eca313e5a922b05cbd56,a2f6d0eeddd4327d67c131dccb9df067aacf11cf23a3a6928c2d79fb,2e4ddae60a6e5ca16b3d35535c3efaca677b86ec53e6f4e33ac54419,ita,SM35,76,378,3:27:12,+1:03:12
404,270,f0bbdb6b7eacd5df02a787024b680ccd4ca8912f99c5e270dd1d80dd,78372503104f65e71c0ba7c2261017be5ccd51f36976ce0b169ed8e0,5ea441798e57843304be541233a0dd814cf4d960d4c008388985a9d6,fra,SM45,85,379,3:27:37,+1:03:37
405,1041,9f17fba1ad411a45d37681938605d9332b315d128547e3a99177e97f,1b6e8bf1ccf1df83ee9b5e2522daeac84ff75cc521634ea02136c730,8e5bec985e0e165c6f13a3ae9f626c19d3d43ae117fe03bf5dd3af7e,ita,SF40,4,26,3:27:47,+1:03:47
406,1362,ae4a7b9144feeaf5c105e1e981fcf471b94be9094c3ae400be9e2160,59dbaaf4b0b76c75492871f701c23977d3c20fc3ae4322d8b2357ff2,c8f55ee37db344daa41fcd36686691cedd39117beaba6090e218920c,ita,SM45,86,380,3:27:49,+1:03:49
407,327,a16e9058c6d0a107fd053c64d032ff0f16f59466f6ec517ebf2ece0e,c57d2802ccce053545c41390195bdaac2b15925fafccde62216a72e7,1543c7461ee2665f91b3047f8bd7a86086ff9ff826eaed6c66257942,ita,SM40,89,381,3:27:53,+1:03:53
408,442,73125cf8e9c953085e39ba866b2dbdc0db9a993649c23646cb0e3520,d887599ce44249ce921295ebbd0a5d3f9548ec20d59af626049e8c49,53735795e28140cd35b15c7dc3ffc21e6f91cfa0db89ef834ca72c21,ita,SM40,90,382,3:27:54,+1:03:54
410,1042,9c087ea664958cb145540781d8d27836c247d981349d1202de40c29c,1bf87820911aa9770ea6e79fb2d18611a23ba2b726d77d59034686f4,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SF40,5,27,3:27:55,+1:03:55
409,113,1ebb78245b93030deb3c679ce5ab1948c40b6deee39e9196276909d1,c2fa1fc435394d6e22dfc8756762064b09648f06943f06003e223da1,4139a2329e67e748a690b98d8cc6de8eb8fa1ebb66d7ff7bc40e9cec,ita,SM35,77,383,3:27:55,+1:03:55
411,1550,45806762e6a8a4f0645a942171b02e6b984d497ebcac516b3a7e17d9,24acfd996a0c00a7a4357dfedeb6879303c736de4fb2b9d7500a3211,a1a6946f2010c003f9d5adc5412f7262c7e3fa63b7de889bb18ea76b,ita,SM45,87,384,3:27:55,+1:03:55
412,1035,9f4d54cae663fa54ab652b06759caf68788559b01e81251388066ffe,474d1e74666f88d61837e186db24177230141802c6aba2daf3d1cb40,a845cbc1c843a1fa86adc3237640f4deba5a9e741409c16115f01ec6,ita,SF45,6,28,3:27:56,+1:03:56
413,428,8addbe71b7167f04206d2e5534b7542f1373c195b0de686f999bf13a,04d4dbdc83a8259199866cf9ddaf46ffa1ee95407ae516a17eb274e8,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,smr,SM40,91,385,3:27:58,+1:03:58
414,1534,45e124548048d1fb5d5c9b95035b262adf5252029529e9fa1dc29f8c,78372503104f65e71c0ba7c2261017be5ccd51f36976ce0b169ed8e0,67d1b1bd7cd21ef125ebfdef2fd4fced1f0f022eaf79f1e3763ec550,fra,SM40,92,386,3:27:58,+1:03:58
415,440,c8aa4b417c2446ea3f21d4416ef46902844a9038cc7478622848ebc0,099bb7dd6d080a9f4a769be4fddb40d7c078a046c02dd7353ba33606,555cd14cc17d77062e72308151d8be90157e9d6b38427ad94916971c,ita,SM,60,387,3:28:07,+1:04:07
416,1472,8c71654bc6b81d65f0a7c72b43f6f050b4ae0586b0c26d456b994027,be5468b82b651e8d9dced0270899f7ab480b817a8fad951d5f3f9238,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,bel,SM,61,388,3:28:08,+1:04:08
417,433,064175ea9e12e57b7b63137d003370083958f310f6be2a18b39a7061,8e722006dd18ba0e8592731b905bcbf91305bd305588a14936a2c1ed,55e4f9f49493e68096da618d8610d849c9b76b693aec1e51e0a68f50,ita,SM50,60,389,3:28:09,+1:04:09
418,635,e8125acd8e0c34ae8ba747be1ee8d7e59ce0439a83211b43eaa43659,c57d2802ccce053545c41390195bdaac2b15925fafccde62216a72e7,da7557b197f91c7727a5f05cc58c419df8acd0716fa5e381f3f4f64a,ita,SM40,93,390,3:28:11,+1:04:12
419,298,b56c0047c94c7289ba4673a505c84c209d6d191875970891624af3b1,f4eb522b5b9421a98e6386a4712ada14908c4cc9d0e4f1080f216f3d,c8f55ee37db344daa41fcd36686691cedd39117beaba6090e218920c,ita,SM40,94,391,3:28:22,+1:04:22
420,377,83a7c3119ba7732c457395920ae572b7d7993ab4e54a55501f0e3eb3,d813d5ed823f12e5b899b375c9f27dfa73d64cab0517461af5c05884,be703f0866779f0c9d3a9d04cd90d683758a8ffdbbb917a136b65e01,ita,SM50,61,392,3:28:26,+1:04:26
421,202,0e227fb7c130f05464e6daa71bba118f3e0d34486017ca09b11354ea,099bb7dd6d080a9f4a769be4fddb40d7c078a046c02dd7353ba33606,87e644f0da5d50e7edeb47a614f18acae3e135f796d76b15a9eb0753,ita,SM45,88,393,3:28:28,+1:04:28
422,1631,158a5aac6b3cd45960436c89ad7456f6ce23365b060cc6da20d0f0b7,ad48b8ba0a8694062d0e88d21eecd53554a0186f846c0a6d2cd034fd,61088419e43e21791c8c84eccfd3d8489ca306b0e621f9eff528490e,ger,SM45,89,394,3:28:28,+1:04:28
423,388,99efaaf1ce1f1678647148576205bcf64d2e69970262295a88a44a3a,6a8ac9ead295493873a96f936b988c604194c5797066af1c49c701ae,c4acbfcb80f0457061986369e88d58c072a6656817121f48f6ad006d,ita,SM35,78,395,3:28:33,+1:04:33
424,121,284e7097207f89106a5b2970f0480f934f9d3f25771bee823892aca0,4febf08ecacf91efd36c045bdba83c2bd3dcfe54bea49deca7900283,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,cze,SM35,79,396,3:28:33,+1:04:33
425,455,2d82d11a0c1443edf9ac4a1e336321621e95794c67759a1ee023763a,4cd4c506709cfe47b5dd19bd09e32348a31cdef45fa9ff30e4362435,55a189aa033fb711f7c6ec7bba03eb90b3d6fea3eea79f8bf247eb9c,ita,SM45,90,397,3:28:35,+1:04:35
426,353,77ced4101c0dec4f69a491335c157e4f726957b7cb713cee02ca54bd,535bbadc760abee020f4332ddec5f8921a6a36b6d48835ed9ea64dfa,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM45,91,398,3:28:36,+1:04:36
427,231,ccff6cc9007b626e203bc698bf043a1d35f740bc0243af2a1f5b388f,0a86d9f0b708b043227de3359018aa9e4b6df34234970f3a0451d848,e387496fed1704d38d88dd28f9b2f6d10d9fb0cded893f0445febd65,ita,SM55,10,399,3:28:37,+1:04:37
428,463,55ea05238011e6d5f70b7ab8b8c628ab0d945ea838ca50a97d7b3eb4,b5552acbdf691c73cd740918bcdec68b0f94028744a869dfcf0b125a,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM,62,400,3:28:39,+1:04:39
429,278,ee8b39290ac6c55bc576ef778b04bb8269d8689100a41156f1002817,95aebfad338ef2dbb88ee175faeb79ffa146862c9b487fe1c4f8cd50,2abb207a399d51075eebfd1e9631b43f0ac923050fb496784b744266,ita,SM40,95,401,3:28:43,+1:04:43
430,706,3537c74f55329cf467f9153fa5bdce6beb432316dbd643b2abacda34,b506fb880468e4b7ccbf13c9dea5d30d93a0fca87e2bc6662097f9b7,c417dd006521a3237fd26a314ca31ae5d73568b71670ea64b0d74f46,ita,SM35,80,402,3:28:44,+1:04:44
431,707,412aa0fd22d4215036ebdb5e92c3643e2fe818716616e4ad3e1932e0,4c73c81e34bd9e40f7d7bd68a7a4082b0b8f8bd50670e471d03f36d7,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,gbr,PM,2,403,3:28:44,+1:04:44
432,259,08955097a5bfc602e9f882b7ab961d6bc0ca819bb0f793f105ca9940,39d247949114fb985c49f7305298510fc4b3dd790f6efdb8b9df0e6f,c4c8c0df353d8aeb7e14e1aba187b25cb708a2c363b20204f96360b7,ita,SM45,92,404,3:28:50,+1:04:50
433,322,940e1adbf0fd4a73496227e552183a902de94c3081e1642f3246eaae,e7951cf196f319d2a0209286650b926dd5f3a5d3f7419653ac2df50d,c4c8c0df353d8aeb7e14e1aba187b25cb708a2c363b20204f96360b7,ita,SM35,81,405,3:28:50,+1:04:51
434,1031,3201a4fdd924450e4fccb64ba8f2f92c5cc8420309e2ebf1e319aa3c,b4c50e0adbcfd3a8398388881f32bdec2fe1f4ffb33aa73a518f2184,8e2fb99eae06baea22affdcdb77892f522c1eef39d97e90ab6274b3a,ita,SF,10,29,3:28:52,+1:04:52
435,429,7aef92adae2c831d82fd32f8464e1e77cf7837697a97b387fd5b197c,d4bf3293b07767c458c65379e034a5b5d6baeec0bd04ffad779951f6,47153175a7c50304f6f9204ee38f48651e397e073325731a29e28270,ita,SM50,62,406,3:28:52,+1:04:52
436,533,24364893b8ef79401e4b9bef32b7f5b6124a11ec6339299e95f35983,960ff6c5acc21b4d1f1a099780d4794bea8695958bef5b65322b8aa6,c17eb236668c4e05834762e3c2f8325312adbc1e932c310222edd7b0,ita,SM40,96,407,3:28:53,+1:04:53
437,329,adadd7ab90e8532fd323bce37baf7d15da48de9fd7fc9428e7d63260,960ff6c5acc21b4d1f1a099780d4794bea8695958bef5b65322b8aa6,4d3f8543ecf7e2fd06530a023e623c6cd9bd8545867c31cb6b2158c9,ita,SM45,93,408,3:28:54,+1:04:54
438,478,fa74bebfefc03ea2e25194377eece80ccfcfb15f0d20a0f96d42f62b,4260bf19be6e27da2888ffdd9b4e9c384fbf9dfb48b395e922d6aa20,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM40,97,409,3:28:55,+1:04:55
439,493,dba401cf3730f9285d96a2d0436a4d8bb3ad63a42a83639ab7510a34,7a5d88dcf1057dad10ad7d65e2ff66f9b3377ff720fd17f4fe3f0301,a845cbc1c843a1fa86adc3237640f4deba5a9e741409c16115f01ec6,ita,SM40,98,410,3:28:57,+1:04:57
440,1453,03c9030bd2174287ae83161ceee1d4442c6045cf0983e7f18e6962d4,01070093e4dd29fff189e0a5ea5125e3f0c14cbce3c44f757c37c835,1423334c841e9f1d8e8d050c14b00661480f0252545db9405e1665e3,ita,SM50,63,411,3:28:59,+1:04:59
441,119,d682837172655e3a46d018ed3f2660b2895a30c1415e8a3cbb9ff91f,c083e5752605909b39e49f5957d14a8ba086738396101ac5a3733d00,4c949f8009ad0ea6955b2f737ac675f69ad9dba3222197b1b7979d15,ita,SM40,99,412,3:29:01,+1:05:01
442,129,5f20415f06be4c5fc065f53b2d3b6ba4a9a5c5dc5d9eb819e034615c,31f6b14cd67ba46736f3fafd3bdfa821468e296d3084a4ca8a7ac6dc,fcb263a412f5da1c0912227dceb0524baf67ef0e3154ecbc950be87f,ita,SM40,100,413,3:29:01,+1:05:01
443,645,e31552b7f87b011b0bbb78fc8306fdfa037c10e2fbf5324cecdba492,a722d96579eaa0ee8db142be81b3a8820d5770d5448d96e10ec91935,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM40,101,414,3:29:02,+1:05:02
444,900,d8283ced5fc2c9370ca0bc939623d5b0ecbc1da9d57ba4ad1da0b09e,9156987e2a1866fb1662bf020a40fb839008c3db2c1e3a111932cd71,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,rus,SM35,82,415,3:29:02,+1:05:02
445,131,411eb7e837c6f00a2aa7caa5911aeb70831a0677c41c36f081953818,737ecb43c3af8fcccb82076af60664ce26b7580bb5af11fa2bcff22f,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,bel,SM45,94,416,3:29:08,+1:05:08
446,555,2d54ee645ae2940e02454656e441f1785dcdd82d0dfa8ce6626ae1f6,caeebf3649dd2c2a5d479bdd47a3d9d067c97df42ffa00bae89dd124,54a9d19c9ad083435ae0af603cc844d98123be903962634a7588fede,ita,SM45,95,417,3:29:09,+1:05:09
447,452,5411a1e52168ed6a44cf6444a02a71ece22d86a369e0f264fbe79540,ce0eed548177ea2fd865475ddd39b24c1640d0b4fb8aa0f2008c1dcf,e8ce07b108fda625bcab109cdec5e40c08740eff22c25b1b123c0fba,ita,SM45,96,418,3:29:10,+1:05:10
448,253,f05b2079b246e739bbbb2b24ebc7d811481b161cbb4926098e91ad63,a722d96579eaa0ee8db142be81b3a8820d5770d5448d96e10ec91935,3ffaab2d20d7e06cd6671f20ba8dc648c6403768a85b822622a05c1b,ita,SM45,97,419,3:29:12,+1:05:12
450,1009,1e76cd385fdb43bd534363ad01df37a69b038a4770aac8cb51dca351,08646ada8154c34fe3bc76e31d7d7fb10b9611dc94a99774320943ad,2cdbc60c6ab743428f04129f40e7d8b9dfeaedb3355a8d2f05262bc9,jpn,SF55,1,30,3:29:14,+1:05:14
449,1620,6ba8c6822f66eaa804bcb5123db9cec4721258c7839ac66d33bc5f3e,a52a233292ae8b41da334d4800187ac5e7706a89b308931aa1c70fe6,1a0b740f72022df44a3bb6c0a54ca460fe5934c3320fdd3139a9a5a1,ita,SM45,98,420,3:29:14,+1:05:14
451,514,a8a41a24589871bece38036fea03deb2902eadbbd89ffee482ff1ed0,1e2c0b4492370d6fa184798e86e457c53d81634ffad71fbcdaaf6db8,9abf4da10cc4c307d05248df91e51cc037949f1fdf6d396b8e791806,ita,SM50,64,421,3:29:14,+1:05:14
452,513,c89db81cd5506c017c18c864f7e1ab386057877a8a85bc737528537a,c016c6fb9de7f1b641367ef3833de581c5fb03bf727212e6085d274a,6e2f8201505e7644820a9ca177b7ed65a346719f5c4087e325448ba4,ita,SM,63,422,3:29:15,+1:05:15
453,845,3ed5cc3e1edf4a180d112a5da37309ff6acbf033e8cf99ac5a5ab554,4548376649d53baab338e043f30d638ae4ac1ef0b9547e34d9ae29c9,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM35,83,423,3:29:17,+1:05:17
454,1402,6056e7f0e9671a846a618a528c6c0b48a48fbd87504c966450a8c016,fafd74571875c32ebf789c545c351e2ff8d4549e3009f4d5485da69c,258225408769db43344e332ed7f3cf55244839ad1edae4eb3c972de5,ita,SM55,11,424,3:29:19,+1:05:19
455,1485,8e529befc4e42b74ef6ead3006ef5916cf8910dd73ad76139519605a,01070093e4dd29fff189e0a5ea5125e3f0c14cbce3c44f757c37c835,583c0cf0adc92ab81afaf58610f30c30b969b276c4c1fce4b0f6b8c6,ita,SM55,12,425,3:29:19,+1:05:19
456,1479,20916c1f486b7d0ff159cd498de1c94c2ffb3ebaca0104db85117929,4260bf19be6e27da2888ffdd9b4e9c384fbf9dfb48b395e922d6aa20,10e44524e36210234f2c829f4bbbb73e076cece020ce478aab56e717,ita,SM45,99,426,3:29:20,+1:05:20
457,526,0a66e3a768a63e23412e8bc4567b048046bc3a8ea791ace0dcd3436c,4eb198cfa04846ab9de89c2ef81f5c88911717d71b89362eb219624c,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ger,SM45,100,427,3:29:21,+1:05:21
458,1422,b94a405ae0e186681ff689409a4806b3a4963b932308cefac94e8714,f0e81b9df312c6f5cdf470695ec833db14f43da3dd276ddbd7217267,32a71ec989256ae545c8b7098374e83549d0b19d099a18eb11b17c8b,ita,SM45,101,428,3:29:23,+1:05:23
459,762,828ba631f25e090631233e2f2e4c8adbdb2e4d47b8c8592cbd38d890,fef6e4d20c53e549f4e51936f5c2521c6a3e629bdaacd3bafd07feaf,53735795e28140cd35b15c7dc3ffc21e6f91cfa0db89ef834ca72c21,ita,SM45,102,429,3:29:23,+1:05:23
460,1457,1e3d7b6b7ab6f70284cd1012181359275e51ec3f10fabebeca7d6283,59118ed4adf6ad4cf0b98d55e156dfb64bb46943ee256f1a8dba2cc3,7784bf40b0292e14d56b75535ba215aba2be95ab2d8d62341c3b9540,ita,SM60,2,430,3:29:23,+1:05:23
461,1546,a188cae169c2c3af8ce0c4103340d1b9f769ca4ddcea9a0605942f21,3becc5704e9529e6aa0480751368a0bed67e49502e0e61296719f0b2,db0e126b854f635a053a87d1a0cfe9d0643d5dfa740d6a356a077b7e,ita,SM45,103,431,3:29:24,+1:05:24
462,682,e6368fdd35aa04f3f967c17b9e736b1f2be67b6b571fbbe63b1d2ec7,88308d0d56b2ba7e56a9550137ed51f79da4657adf4ea08126bea5fe,14570412841cdc0ffd437956b6d5be8a6f355f0be72c67b5f75de6a8,gbr,SM35,84,432,3:29:27,+1:05:27
463,843,e7820d4ce9d879d69cee72f6eaf37ca3fae6b83d8e3380588e84857e,569d8110ccb9a55ef0a69e0d6fc0836b89637026f427c2a7f9ce6a26,53735795e28140cd35b15c7dc3ffc21e6f91cfa0db89ef834ca72c21,ita,SM40,102,433,3:29:30,+1:05:30
464,1427,854d812d39879747b817a2302edc1039722176f41e247722c1a869e0,d71bacb61364d9a3e52c870b7ee98b5a15c151291c2b1b2b8f8640f1,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM40,103,434,3:29:35,+1:05:35
465,615,68c5826cd2d1dca0fb94f331295258837a9d92a0b9cbcc35fe552d48,099bb7dd6d080a9f4a769be4fddb40d7c078a046c02dd7353ba33606,817a226c4aeae99435eb49dc3c096c4dc0b2ac07ff1d1a1a3c70c6e0,ita,SM40,104,435,3:29:40,+1:05:40
466,1549,f4a409a87eddacf16c98879f5dbf020a7c53ae632b2c4ff3ebee31d9,2e19fcefb110b2e3cff92f39ae27b25320dcfbc1f1df54469d0f195c,a1a6946f2010c003f9d5adc5412f7262c7e3fa63b7de889bb18ea76b,ita,SM50,65,436,3:29:41,+1:05:41
467,475,9b5385af337270000d0d6d9365abdaea1ae98fc0899ce6dd5cee4d10,ba06f5a359f1844eabde67a01723a3d220909e35aaa8ce52e6865484,e66640725cd49d5eca72128c1625142f0eb51785d8758b9b08530b7a,ita,SM40,105,437,3:29:47,+1:05:47
468,1419,2261e04f4727a119a0917818432e571c6e18f2242e8bc4907d24b146,960ff6c5acc21b4d1f1a099780d4794bea8695958bef5b65322b8aa6,e66640725cd49d5eca72128c1625142f0eb51785d8758b9b08530b7a,ita,SM50,66,438,3:29:47,+1:05:47
469,325,70ee80a93842e6933e5dcf31ee683efcdbe8d072b2bc5fab40bd6bbb,00fcea5f50f7ff474518c9af7fbf2aee555a52b4d61b4abb3c5c160c,3a83a23a923f8f3316e8299410beef4ec354cf5a45bc289009db255c,ita,SM50,67,439,3:29:53,+1:05:53
470,1360,fc3a3e645995a89485c393aa5c1f88ccf4095d12aed544b4ef9e9da8,f0e81b9df312c6f5cdf470695ec833db14f43da3dd276ddbd7217267,61ab8566c825aafa4359a7444e1cebb7486dfdea44f28661f67be405,ita,SM45,104,440,3:29:53,+1:05:53
471,109,d38bfa102b9527de57c7f2563d8a6bf07f75c3794abd1cd9bbd6cd62,5b2112e51d042f0a2c74ae96e22eeebaf3f84df030a8a1831df59bf0,c807a448f9d6ea926a16d954ff8edf5e5cdfbe0c9cc4c7a10ee2e10d,esp,SM35,85,441,3:29:54,+1:05:54
472,437,ad83f0ad069fabc1ea41fb9de9e7ca8e46e968b5f1f20b84bfa43152,3a5e3bea01b773f15bed4ad96541152c8fb42a8c112acd85c7132457,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,mar,SM45,105,442,3:30:04,+1:06:04
473,354,26ac8d6fd08d7ffc289ef0035fcf48347874315f173b18839d96f87a,b264c8089d549d2c456216f244dda6b1da6b6a16bf63d6b0531ebefe,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,bel,SM50,68,443,3:30:05,+1:06:05
474,1495,c969a5912df9183af324ee5da5b94ca19eb6a59068726bb11ad9ac87,657b2d1e09e87fece5790ecf127888cf8312439d322f0f57de54e842,46410c5bd8b9d27e0e5d6afa4f53941e488da468a1299e1fa6754d6c,ita,SF45,7,31,3:30:11,+1:06:11
475,529,1f58345a62737e16740d77ef51d24cf71fced840dc448c9ed4d49e4b,96ffffb39cdd4204864371d833852949e797737a7fbd357576875b76,a07081367b5b0940b0ab61e129a88e4fe450ca83c53e4794343e16bb,ita,SM45,106,444,3:30:16,+1:06:16
476,1323,13209495fbfb675d93f5cb02424292cdb8db7684fc958b91b392df52,e6f8e93d8162712b0bd626dcf6f060dbd36d69a3726cb14861f4e6d4,0294dfbe27276fbb59718737ec65dbb0a04296f4b1111a7caca064d5,ita,SM45,107,445,3:30:18,+1:06:18
477,1391,9922d982baf75c58e460c5819bd8163f33426f3ef9097600705dda16,a722d96579eaa0ee8db142be81b3a8820d5770d5448d96e10ec91935,97893a88e06e9a9e9f17654d384b49249957afdb35018372ff37b7b2,ita,SM35,86,446,3:30:26,+1:06:26
478,545,25f901390e371bd57f3c87fb9f1893953066c5a488c632f6e6e81f1b,e7951cf196f319d2a0209286650b926dd5f3a5d3f7419653ac2df50d,97893a88e06e9a9e9f17654d384b49249957afdb35018372ff37b7b2,ita,SM50,69,447,3:30:26,+1:06:26
479,483,f38173ec8a840635e890acefeb03edcf64809529e04de181ab0114fb,7a5d88dcf1057dad10ad7d65e2ff66f9b3377ff720fd17f4fe3f0301,588300cf0f223fd01956e40ef2230e11b60624962a0f5aa35373d8c5,ita,SM45,108,448,3:30:28,+1:06:28
480,401,36dd85fa976d0c70506f38d1b215492aae781c70cf2c4d06aa073b1f,607b620a62e4bdea29ee6921dddeed38bae8900d285b21f567247375,e6c1a2ef9c1c66bed019777ef02475711305c0a064d8d994e8618687,ita,SM45,109,449,3:30:30,+1:06:30
481,266,8c365b6715231c4ff1f5af5c47b7e2dbb733a3496115991bd9f0063c,fef6e4d20c53e549f4e51936f5c2521c6a3e629bdaacd3bafd07feaf,53735795e28140cd35b15c7dc3ffc21e6f91cfa0db89ef834ca72c21,ita,SM40,106,450,3:30:37,+1:06:37
482,501,0203d2c8c91aedae1e3979d60ad29cd043460c71e335092d16272291,c1723980c91446e04d678f09f853fb6d78f1b894d3f890c5c166938d,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,por,SM45,110,451,3:30:44,+1:06:44
483,426,2911e392bf26c875e8eafac44d538797979d8cfdfaf9207008f17323,23e1d8724bc02590dffa21362529db5ff36a6ca0f55221b5beb6d215,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,rus,SM40,107,452,3:30:45,+1:06:45
484,570,de26ab845fcbfe53417ec5398fdb6af2e353fb27f082869fec918398,775eff0a07b05397471d2fcb951baacbcc4440b198f1f3cdce14f4e3,55a189aa033fb711f7c6ec7bba03eb90b3d6fea3eea79f8bf247eb9c,ita,SM50,70,453,3:30:47,+1:06:47
485,1547,4f074f6ebb04b0c4d6731bd03acfa008dc5bc573841aae1c13193ec0,4260bf19be6e27da2888ffdd9b4e9c384fbf9dfb48b395e922d6aa20,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM50,71,454,3:30:49,+1:06:49
486,604,79c99d6a606e93b15257f969f2f4af5ef803898a74ce109f38bfee1d,b37e7773b06688891e6ab12a1bc2c704f5aea67d700c5b61f1d6ea8c,631ca7fbc2a9953af34380c6163234fd6128dd8760017147ecde93e5,ita,SM35,87,455,3:30:50,+1:06:50
487,133,3a51e6b738d6ef0140b30beac12a215561c6703ffc6fb150325b8e94,f4eb522b5b9421a98e6386a4712ada14908c4cc9d0e4f1080f216f3d,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM35,88,456,3:30:56,+1:06:56
488,316,8c5353e7423ca4907ac397c260e3be11ded814694f47ca7b0372e928,7a5d88dcf1057dad10ad7d65e2ff66f9b3377ff720fd17f4fe3f0301,53b79ed091251408a4b657eba234d85a36ce500bb190826b2647b71e,ita,SM45,111,457,3:30:58,+1:06:58
489,686,5ff0f66233ab734cfa7e29f7ba0db6e3721afb1826e0eded67c2d20f,181c1375100173b5ba72e813b2758d00fc17e825bfe02b0fcec5c8e4,a87964487b8cd0fc836a6b2f41475fdfebb84619cad95c3dc9997b61,ita,SM45,112,458,3:30:58,+1:06:59
490,1384,5fd0c8ca6f98172a699c58beffec9f42eb8e5a31cee133fe660c6053,fafd74571875c32ebf789c545c351e2ff8d4549e3009f4d5485da69c,89e2b86bab053a39ad5c35969884654dea2661dc6d77ca8ba71ee96e,ita,SM40,108,459,3:31:00,+1:07:00
491,355,de455ce22ca97c3afe7c1b331543bc85c1ca21abbe1cb435b0e8190b,90a2c8676e9a63665e01309f84ac00127468eb388bc152f00e4f5ff5,25deb62179cdcc3f640a56b947b2f3b10b1f515258866d551dd714e3,ita,SM50,72,460,3:31:13,+1:07:13
492,170,a598cacc5569c678de3c218f54fb89b68ba280230f04ca3487eae853,099bb7dd6d080a9f4a769be4fddb40d7c078a046c02dd7353ba33606,8cc35e33bd30de8aa73b8028a11f661c1d1e7549f45d538de1093ec7,ita,SM45,113,461,3:31:14,+1:07:14
493,1463,19ee73e1a79098227e1056c7d416abf687db73328ccd14beea3ff524,607b620a62e4bdea29ee6921dddeed38bae8900d285b21f567247375,0294dfbe27276fbb59718737ec65dbb0a04296f4b1111a7caca064d5,ita,SM35,89,462,3:31:20,+1:07:20
494,387,1a7fa136d3fed3d4c9225d12158d5b4b2598f8c54fe1284dec13eda0,c5d3d65b8bade7f528975c4e6591f8206e0d463d6cffc35e6a418024,06aaa992a841cd4865c3baf25eeccef6b477b698282df6a2c0253d28,ita,SM40,109,463,3:31:22,+1:07:22
